txtDescricao;numAno;vlrDocumento;vlrGlosa;vlrLiquido;codLegislatura
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2020;979913.74;5255.93;972694.06;195776
"AQUISIÇÃO OU LOC. DE SOFTWARE; SERV. POSTAIS; ASS.";2009;987255.06;37953.99;949301.07;139602
HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2009;969531.79;32103.72;937311.07;196471
SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2019;935961.41;8632.55;924935.46;1766331
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2021;892875.38;3247.31;889628.07;30744
SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2016;891695.66;6683.44;879132.27;1449470
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2019;905046.26;17630.86;872219.8;965147
SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2015;866955.35;1211.66;862747.03;1542375
SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2018;880276.7;18833.670000000002;861376.03;1305535
SERVIÇOS POSTAIS;2022;833725.11;17.3;833707.81;212240
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2009;843940.18;17684.82;824909.0;668701
LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;2013;777335.39;7543.94;758858.33;12582
SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2021;764714.92;19819.68;742132.89;1044624
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2018;750356.93;7651.34;725453.83;771430
PASSAGEM AÉREA - REEMBOLSO;2022;720163.5;97.72;720065.78;25256
LOCAÇÃO OU FRETAMENTO DE AERONAVES;2013;715807.22;0.0;714143.82;4482
SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;2009;744149.75;31776.489999999998;712373.26;35934
SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2014;588559.6;5331.82;583227.78;967518
AQUISIÇÃO DE MATERIAL DE ESCRITÓRIO.;2009;565211.23;19570.4;545640.83;84853
SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2020;495881.45;15370.06;480047.38;796600
LOCAÇÃO OU FRETAMENTO DE AERONAVES;2022;465843.7;0.0;465843.7;1624
ASSINATURA DE PUBLICAÇÕES;2016;401460.45;4478.71;395752.87;60280
SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;2022;385930.26;10275.23;375323.56;513632
FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;2021;377197.23;9847.76;366855.43;330960
ASSINATURA DE PUBLICAÇÕES;2017;361857.1;2200.94;359468.99;52415
