sgPartido;numAno;vlrDocumento;vlrGlosa;vlrLiquido;codLegislatura
PROS;2015;4397838.0232;15918.66;4370965.83;358967
SOLIDARIEDADE;2017;4369825.73;11760.95;4343653.45;278795
PV;2010;4387990.99;52088.97;4336878.66;584908
PRB;2014;4236361.893269;34100.46;4193210.21;226692
PRB;2013;4289937.735027;8974.289999999999;4189591.04;311364
PSDB;2022;4158600.31;39987.38;4081777.59;217448
PCdoB;2010;4106577.17;33160.0;4073696.64;387218
PPS;2017;4052031.6;13079.02;4037065.59;319825
SOLIDARIEDADE;2015;4079215.6236;11509.75;4025697.08;294690
PSC;2021;4036160.88;11907.67;4023849.14;187376
SOLIDARIEDADE;2018;4028233.85;19068.05;4003831.48;231000
PRB;2011;4028411.31;80462.83;3948038.49;347904
PSC;2009;3878818.9;53436.11;3904094.1;428982
PODE;2019;3894907.81;24120.19;3865204.5;270071
PRB;2012;3931168.43;87979.78;3832096.91;268056
PCdoB;2019;3915478.47;105347.4;3803704.13;210415
PSB;2022;3796492.59;9217.4;3783353.55;264376
PSC;2019;3735330.08;17245.87;3702873.83;245574
PSC;2017;3703467.88;6990.04;3689299.1;290675
SOLIDARIEDADE;2019;3671167.23;15176.01;3654707.34;208484
PPS;2015;3633739.874;10103.03;3621098.15;444114
PPS;2018;3620320.54;18063.24;3593592.39;223355
PDT;2022;3599862.25;15368.85;3581735.34;183232
PSC;2020;3579238.13;10691.6;3562237.06;149632
PSC;2018;3543492.04;12841.61;3530274.96;244145
PV;2011;3551968.21;28197.89;3523757.36;432793
PPS;2009;3531466.4899999998;55203.36;3504599.86;494384
PPS;2016;3503042.3;15664.300000000001;3479061.34;333850
PV;2013;3508592.00644;17867.67;3471093.82;378486
PSOL;2019;3394084.59;7600.43;3382857.81;255148
PV;2014;3397026.413059;20043.670000000002;3361660.14;296838
PV;2009;3340387.36;51951.88;3341964.5;435024
SOLIDARIEDADE;2021;3330818.62;4256.83;3326561.79;147952
PCdoB;2020;3225586.14;6681.49;3218617.76;119000
PODE;2021;3162623.37;13422.57;3134860.72;212576
PCdoB;2021;3113416.66;7798.26;3105613.38;128240
PODE;2020;3121665.12;15519.960000000001;3102041.58;174832
PSL;2017;3095773.54;7428.34;3076075.74;264440
AVANTE;2017;3065560.7;2999.36;3062561.34;203445
PCdoB;2009;2909004.09;27295.28;2919285.02;299768
PROS;2019;2911629.63;12177.11;2890724.39;163226
PSL;2016;2904740.42;15488.34;2884571.79;250525
PV;2012;2907970.41;43058.560000000005;2864013.14;342144
PSL;2018;2853376.36;17368.989999999998;2825646.37;196185
PPS;2013;2788558.2531;4535.43;2767556.22;352890
PSOL;2021;2695340.42;12810.85;2669722.27;123648
PROS;2021;2661520.96;14718.73;2646800.98;148680
PSL;2015;2663842.70436;15020.21;2644581.68;253155
AVANTE;2016;2633270.12;4077.26;2626111.78;190905
AVANTE;2018;2631698.27;6839.71;2624474.15;127710
PPS;2011;2560937.29;31581.38;2529355.93;390420
PSC;2016;2536861.26;4762.98;2529335.31;227700
PPS;2014;2513579.923;7487.47;2503172.1;267516
PRB;2010;2544769.92;63184.2;2481585.82;222653
PSC;2015;2466575.9311;5512.64;2459404.2;220473
PPS;2012;2420679.37;22645.7;2384548.06;342360
SOLIDARIEDADE;2020;2389173.1;2202.07;2366244.33;96992
PSOL;2017;2357520.73;3587.84;2353006.38;197835
AVANTE;2015;2330422.3148;3183.23;2327236.44;169345
PROS;2020;2334976.17;9255.19;2325546.8;142688
AVANTE;2019;2327347.34;15543.68;2296258.2;197925
PSOL;2015;2205810.55;5164.45;2200646.1;215769
PTB;2019;2213970.64;12674.87;2197676.54;116254
PATRI;2017;2194821.62;3683.55;2185563.34;205810
PSOL;2016;2193034.25;3621.27;2183731.53;200640
PSOL;2018;2174009.73;6034.77;2166571.46;163790
CIDADANIA;2019;2164302.26;7949.81;2153815.02;187936
PATRIOTA;2021;2152436.97;3954.93;2148220.0;92176
PATRI;2018;2141442.07;1939.46;2139502.61;153505
PATRI;2015;2138231.1149999998;7237.62;2102706.36;218075
PATRI;2016;2105446.17;15903.619999999999;2087442.55;186340
AVANTE;2021;2070941.44;14101.27;2056840.17;142744
PSC;2022;2031470.18;50806.54;1975414.58;87472
PHS;2017;1973138.74;3561.01;1969577.73;118030
PHS;2018;1954891.03;7113.27;1947777.76;100595
PATRIOTA;2019;1955721.85;12511.630000000001;1941291.46;131040
CIDADANIA;2021;1905248.44;6150.58;1898085.92;142296
PSOL;2020;1894563.78;9894.68;1884669.1;88648
PV;2015;1905787.5357;9619.52;1878018.93;275162
