txNomeParlamentar;sgPartido;codLegislatura;numAno;vlrDocumento;vlrGlosa;vlrLiquido;nomeEsgPartido
EDMAR ARRUDA;PSC;54;2015;35377.519;84.9;35292.62;EDMAR ARRUDA (PSC)
CHICO LOPES;PCdoB;53;2011;35453.17;184.60000000000002;35268.57;CHICO LOPES (PCdoB)
MARCUS PESTANA;PSDB;55;2019;35247.35;8.0;35239.35;MARCUS PESTANA (PSDB)
Edio Lopes;PMDB;54;2015;35224.6423;0.0;35224.64;Edio Lopes (PMDB)
PAULO FEIJÓ;PR;55;2019;35949.82;746.37;35203.45;PAULO FEIJÓ (PR)
Miguel Haddad;PSDB;56;2021;35228.67;85.0;35143.67;Miguel Haddad (PSDB)
LUIZ ARGÔLO;SDD;54;2015;35480.7;340.72999999999996;35139.97;LUIZ ARGÔLO (SDD)
Joaquim Passarinho;PSD;55;2019;35715.08;580.0;35135.08;Joaquim Passarinho (PSD)
Márcio Macêdo;PT;54;2015;35134.12951;59.34;35074.79;Márcio Macêdo (PT)
HERÁCLITO FORTES;DEM;55;2019;35072.270000000004;8.92;35063.35;HERÁCLITO FORTES (DEM)
Sergio Vidigal;PDT;55;2019;35084.28;25.1;35059.18;Sergio Vidigal (PDT)
JOSÉ ANÍBAL;PSDB;54;2015;35095.66;0.0;35055.32;JOSÉ ANÍBAL (PSDB)
CLÁUDIO PUTY;PT;54;2015;35046.01;0.0;35046.01;CLÁUDIO PUTY (PT)
SANDES JÚNIOR;PP;55;2019;35020.26;0.0;35020.26;SANDES JÚNIOR (PP)
FERNANDO MARRONI;PT;54;2015;35049.48;29.76;35019.72;FERNANDO MARRONI (PT)
VALDIR COLATTO;PMDB;53;2011;35668.29;649.39;35018.9;VALDIR COLATTO (PMDB)
PINTO ITAMARATY;PSDB;54;2015;35010.380000000005;0.0;35010.380000000005;PINTO ITAMARATY (PSDB)
NAZARENO FONTELES;PT;54;2014;35071.877;73.97;34997.9;NAZARENO FONTELES (PT)
PROFESSOR SÉRGIO DE OLIVEIRA;PSC;54;2015;34961.58;0.0;34961.58;PROFESSOR SÉRGIO DE OLIVEIRA (PSC)
Damião Feliciano;PDT;54;2015;34950.087;0.0;34950.090000000004;Damião Feliciano (PDT)
MARCELO AGUIAR;DEM;55;2019;34922.52;0.0;34922.52;MARCELO AGUIAR (DEM)
Afonso Florence;PT;55;2019;34922.79;0.6;34922.19;Afonso Florence (PT)
Alice Portugal;PCdoB;54;2015;36128.12;1217.44;34910.68;Alice Portugal (PCdoB)
ZENAIDE MAIA;PHS;55;2019;34897.46;1.66;34895.8;ZENAIDE MAIA (PHS)
ROBERTO DORNER;PSD;54;2015;34893.804;0.0;34893.799999999996;ROBERTO DORNER (PSD)
MENDONÇA PRADO;DEM;53;2011;35013.75;126.35;34887.4;MENDONÇA PRADO (DEM)
MARCO MAIA;PT;55;2019;34890.229999999996;9.61;34880.619999999995;MARCO MAIA (PT)
RONALDO ZULKE;PT;54;2015;34898.520000000004;41.42;34857.1;RONALDO ZULKE (PT)
DAVI ALCOLUMBRE;DEM;53;2011;34855.21;10.120000000000001;34845.09;DAVI ALCOLUMBRE (DEM)
Arthur Oliveira Maia;DEM;55;2019;35377.84;590.04;34787.8;Arthur Oliveira Maia (DEM)
JOSÉ MENTOR;PT;55;2019;34804.66;24.240000000000002;34780.42;JOSÉ MENTOR (PT)
LUIZ FERNANDO FARIA;PP;55;2019;35324.17;553.2499999999999;34770.92;LUIZ FERNANDO FARIA (PP)
Vinicius Gurgel;PR;55;2019;34760.64;0.0;34760.64;Vinicius Gurgel (PR)
SANDES JÚNIOR;PP**;54;2015;34863.35;105.11;34758.240000000005;SANDES JÚNIOR (PP**)
OLIVEIRA FILHO;PRB;54;2015;34878.21;0.0;34751.05;OLIVEIRA FILHO (PRB)
Aureo Ribeiro;SOLIDARIEDADE;55;2019;34719.42;0.0;34719.42;Aureo Ribeiro (SOLIDARIEDADE)
LUIZ ALBERTO;PT;54;2015;34697.32;0.0;34692.9;LUIZ ALBERTO (PT)
EURICO JÚNIOR;PV;54;2015;34690.44;0.0;34690.44;EURICO JÚNIOR (PV)
FRANCISCO TENÓRIO;PMN;54;2015;34729.17;52.17;34677.0;FRANCISCO TENÓRIO (PMN)
Rubens Pereira Júnior;PCdoB;55;2019;34662.51;0.0;34662.51;Rubens Pereira Júnior (PCdoB)
Renata Abreu;PODE;55;2019;34790.67;194.0;34596.67;Renata Abreu (PODE)
MARCOS ABRÃO;PPS;55;2019;34567.14;0.0;34567.14;MARCOS ABRÃO (PPS)
JANETE CAPIBERIBE;PSB;55;2019;34557.35;0.0;34557.35;JANETE CAPIBERIBE (PSB)
CAETANO;PT;55;2019;34567.840000000004;32.08;34535.76;CAETANO (PT)
CAIO NARCIO;PSDB;55;2019;34514.29;0.0;34514.29;CAIO NARCIO (PSDB)
ZEQUINHA MARINHO;PSC;53;2011;34508.51;0.0;34508.51;ZEQUINHA MARINHO (PSC)
PEDRO FERNANDES;PTB;55;2019;34460.93;0.0;34460.93;PEDRO FERNANDES (PTB)
SÉRGIO PETECÃO;PMN;53;2011;34445.3;0.0;34445.3;SÉRGIO PETECÃO (PMN)
